Product Name,SKU,MRP (INR),Product URL,Image Count,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Description,Sizes,Colors,Fabric,Category,Work/Embellishment Details,Occasion,Care Instructions,Includes,Country of Origin,Stock Status,Other Attributes
Zaria Lehenga,IS-221,265000,https://isabydollywahal.com/product/zaria-lehenga-96412447,10,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/0NSaRQwkhl-4.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/4DzyGYoD-Y-5e5e8ef0-daee-4850-b039-61d31d6fbc08.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/4WCBUglk7N-4.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/4e_52fJZDT-IMG_6468.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/7uS8YlhB4-1eb11b63-0296-4a40-83fe-0355b8eafb50.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/I4h0XE1PSR-4.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/Mu1ht0TWGj-4.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/Zy3DBAh6gA-IMG_4255.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/eOt7dK8iM5-4.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/xnMZHEP2O6-4.jpg,,,,"This nude lehenga is embellished with multicoloured emerald-, ruby- and gold-toned stones, sequins and crystals. It is paired with a sculpted corset blouse and a sheer embroidered dupatta that can also be draped as a head veil.","Made-to-order/customizable, no fixed size chart",Nude (customizable to other colors),N/A,Lehenga,"Multicoloured emerald/ruby/gold-toned stones, sequins, crystals, embroidered dupatta",Bridal / special occasion (implied),N/A,"Lehenga skirt, sculpted corset blouse, embroidered dupatta (also wearable as head veil)",India,Made-to-order (N/A stock count),"Customizable (color, sleeves, neckline, size); handcrafted; delivery 6-8 weeks India/USA, 6-10 weeks other countries"
Teal Mirror Lehenga,IS-226,255000,https://isabydollywahal.com/product/teal-mirror-lehenga-96412444,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/7pPRCBjokA-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/AZ9KBWRHHp-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/E3s6GjFxnT-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/J3Ddk82YcN-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/JXn1HUhOH-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/ojEvpfzJz9-9.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/udpgXdzTKW-9.jpg,,,,,,,"Rich in texture and dimension, this teal lehenga is intricately hand-embroidered with 3D motifs, sequins and mirror work, paired with a sculpted sweetheart-neck blouse and cutwork embellished dupatta.",Made-to-order/customizable,Teal (customizable),N/A,Lehenga,"Hand-embroidered 3D motifs, sequins, mirror work, cutwork embellished dupatta",Special occasion (implied),N/A,"Lehenga, sculpted sweetheart-neck blouse, dupatta",India,Made-to-order,"Customizable (color, sleeves, neckline, size); handcrafted; delivery 6-8/6-10 weeks"
Freya Fishcut Lehenga with Cape,IS-222,249000,https://isabydollywahal.com/product/freya-fishcut-lehenga-with-cape-96412448,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/-dxtVOPcpM-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/6AdUfToQEp-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/AWX8fyL_1-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/EA40aW-V2z-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/Hy0wqN5lV8-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/dlzspX1TCQ-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/u2aF5fdiDK-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/vdOvCCihhy-3.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/xFvFAu3I0h-3.jpg,,,,,"Fishcut lehenga featuring multicoloured emerald-, ruby- and gold-toned stones, sequins and crystals, paired with a V-neck embroidered blouse and sheer embellished short cape.",Made-to-order/customizable,Multicolour stone work (base color N/A); customizable,N/A,Lehenga (fishcut),"Multicoloured stones (emerald, ruby, gold-toned), sequins, crystals, embroidery",N/A,N/A,"V-neck embroidered blouse, sheer embellished short cape",India (implied),Made-to-order,"Customizable (color, sleeves, neckline, size); handcrafted; delivery 6-8/6-10 weeks"
Caramel Brown Saree,N/A,210000,https://isabydollywahal.com/product/caramel-brown-saree-96412439,12,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/8IZOkznuW-product.png,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/0DMBpQM2La-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/DS4N0PHa_p-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/IO58olaEWM-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/KKuPJoskaa-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/R2LtKM6aIp-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/X_uhmcRD_m-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/dmOYtEKzrL-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-217/q4yRZoDl8-8.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/O1lXKIqNt-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/nk9v4dfe6-product.png,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/v9cqxdDg9-product.jpeg,,"Warm and opulent, this caramel-brown saree is adorned with all-over tassel, cutdana and sequin embroidery. A strappy sweetheart-neck blouse and coordinating embellished drape complete the modern silhouette.",Made-to-order/customizable,Caramel Brown,N/A,Saree,"All-over tassel, cutdana and sequin embroidery",N/A,N/A,"Strappy sweetheart-neck blouse, coordinating embellished drape",India,Made-to-order,"Customizable (color, sleeves, neckline, size); handcrafted; delivery 6-8/6-10 weeks"
Athena Shaded Lehenga,IS-195,255000,https://isabydollywahal.com/product/athena-shaded-lehenga-18010224,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/3WGy5vK_-OV-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/3cSKuVwy_j_-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/B9kiU3R29Vp-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/VYKx23iW9su-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/Zqsq5nMMXKu-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/mN7G0U6ZkYq-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/oAf8AqgtcfV-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/sjMCitqDn9Y-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/yI6KcOtuIrC-WhatsApp-Image-2026-05-04-at-7.jpeg,,,,,"Ombre bronze gold and silver lehenga with intricate geometric embroidery all over, paired with a one-shoulder two-toned blouse and delicate dupatta with floral 3D motif.",Made-to-order/customizable,Ombre bronze/gold/silver (shaded),N/A,Lehenga,Geometric embroidery throughout; floral 3D motif on dupatta,N/A,N/A,"One-shoulder two-toned blouse, dupatta",India,Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, expedited on request"
Maroon Corset Fishcut Lehenga,IS-204,275000,https://isabydollywahal.com/product/maroon-corset-fishcut-lehenga-18010227,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/0L5h8IQjOyI-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/2_-IeQGTFRR-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/6TycPgqfRZV-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/E7z8zEQAFJn-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/KvFT7La_had-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/R5q3vM8ziP3-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/ULF0vKL4qrx-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/XYM7eUTK1_i-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/yV5JuN1Z9vj-WhatsApp-Image-2026-05-04-at-7.jpeg,,,,,"Ensemble featuring intricate embroidery with geometric and delicate floral motifs, paired with a sculpted sweetheart corset blouse, styled with either a short head veil or dupatta.",Made-to-order/customizable,Maroon,N/A,"Lehenga (fishcut, corset)",Geometric and delicate floral embroidery motifs,Bridal / special occasion (implied),N/A,Sculpted sweetheart corset blouse; dupatta or short head veil (styling option),N/A,Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, expedited on request"
Sapphire Blue Fishcut Lehenga,IS-210,255000,https://isabydollywahal.com/product/sapphire-blue-fishcut-lehenga-18010225,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/4adcw69Ugf-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/AbXb55GPq-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/GMzOKGdO6o-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/OODL_LTWSs-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/dcUXe_SzCS-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/idSs-sYynz-WhatsApp-Image-2026-05-04-at-8.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/w2tiH2Jycm-WhatsApp-Image-2026-05-04-at-8.jpeg,,,,,,,"This radiant sapphire blue lehenga features intricate tonal embroidery, sequins, crystals, cutdana, and tassel detailing on the skirt. It includes a statement sweetheart-neck blouse and contemporary tassel-detailed dupatta.",Made-to-order/customizable,Sapphire Blue (customizable),N/A,Lehenga (fishcut),"Tonal embroidery, sequins, crystals, cutdana, tassel detailing",N/A,N/A,"Lehenga skirt, sweetheart-neck blouse, tassel-detailed dupatta",India,Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, expedited on request"
Alina Tissue Lehenga,IS-224,215000,https://isabydollywahal.com/product/alina-tissue-lehenga-96412449,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/6nnjk1KmIw-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/7hjoSLxQ7z-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/Gda02AcizP-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/Hu2v22TYNS-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/Ks-IiNIKz6-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/TH69OCvtOW-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/X0S3MeExPN-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/ZZ53bFvWx-5.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/zOUN0TWoGE-5.jpg,,,,,"Shimmering tissue lehenga with shaded silver and brown tones, intricate geometric embroidery across the skirt, paired with a fitted corset blouse and sheer embellished dupatta.",Made-to-order/customizable,Silver/brown shaded,Tissue,Lehenga,"Geometric embroidery, silver/brown shading, embellished dupatta",Special occasion/wedding wear,N/A,"Fitted corset blouse, sheer embellished dupatta",India,Made-to-order,Customizable; handcrafted; delivery 6-8/6-10 weeks
Lilac Corset Lehenga,IS-205,255000,https://isabydollywahal.com/product/lilac-corset-lehenga-18010223,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/KFKchxQlhj-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/OBz-IxnP1Z-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/SKbdT4Zix6-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/p3d2rERnLs-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/uRN3glSI3-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/vYP8Dq8I_g-10.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/yQb-YRzz96-10.jpg,,,,,,,"Intricately embroidered lilac fishcut skirt with pink and mint green accents, paired with a lilac corset blouse with all-over sequin, crystal, cutdana and pearl embroidery.",Made-to-order/customizable,Lilac with pink and mint green accents,N/A,"Lehenga (fishcut, corset)","Sequin, crystal, cutdana and pearl embroidery",Special events/celebrations,N/A,Corset-style blouse (dupatta not mentioned),India,Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, urgent delivery on request"
Elara A-Line Lehenga,IS-220,215000,https://isabydollywahal.com/product/elara-a-line-lehenga-96412440,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/2qQpBsuOVD-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/FLRA7s1uy7-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/GPfnxPxv5-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/IWU4IUvJrL-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/LdSrlg3i_C-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/iyYwZ9HxVR-6.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/swWvZCy1Fb-6.jpg,,,,,,,"Nude-gold A-line lehenga adorned with intricate gold and silver embroidery in geometric motifs, paired with a sculptural two-layered corset blouse and embellished dupatta.",Made-to-order/customizable,Nude-gold,N/A,Lehenga (A-line),"Gold and silver embroidery, geometric motifs",N/A,N/A,"Two-layered corset blouse, embellished dupatta",India,Made-to-order,Customizable; handcrafted; delivery 6-8/6-10 weeks
