Product Name,Price (INR),Product URL,Image URL
Zaria Lehenga,265000,https://isabydollywahal.com/product/zaria-lehenga-96412447,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-221/0NSaRQwkhl-4.jpg
Teal Mirror Lehenga,255000,https://isabydollywahal.com/product/teal-mirror-lehenga-96412444,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-226/udpgXdzTKW-9.jpg
Freya Fishcut Lehenga with Cape,249000,https://isabydollywahal.com/product/freya-fishcut-lehenga-with-cape-96412448,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-222/EA40aW-V2z-3.jpg
Caramel Brown Saree,210000,https://isabydollywahal.com/product/caramel-brown-saree-96412439,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/8IZOkznuW-product.png
Athena Shaded Lehenga,255000,https://isabydollywahal.com/product/athena-shaded-lehenga-18010224,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-195/mN7G0U6ZkYq-WhatsApp-Image-2026-05-04-at-7.jpeg
Maroon Corset Fishcut Lehenga,275000,https://isabydollywahal.com/product/maroon-corset-fishcut-lehenga-18010227,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-204/E7z8zEQAFJn-WhatsApp-Image-2026-05-04-at-7.jpeg
Sapphire Blue Fishcut Lehenga,255000,https://isabydollywahal.com/product/sapphire-blue-fishcut-lehenga-18010225,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-210/w2tiH2Jycm-WhatsApp-Image-2026-05-04-at-8.jpeg
Alina Tissue Lehenga,215000,https://isabydollywahal.com/product/alina-tissue-lehenga-96412449,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-224/Gda02AcizP-5.jpg
Lilac Corset Lehenga,255000,https://isabydollywahal.com/product/lilac-corset-lehenga-18010223,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-205/p3d2rERnLs-10.jpg
Elara A-Line Lehenga,215000,https://isabydollywahal.com/product/elara-a-line-lehenga-96412440,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-220/IWU4IUvJrL-6.jpg
Lime Green Slit Saree,195000,https://isabydollywahal.com/product/lime-green-slit-saree-18010226,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/4WIXZEwEU-t-WhatsApp-Image-2026-05-04-at-7.jpeg
Gold Fishcut Lehenga with Trail,245000,https://isabydollywahal.com/product/gold-fishcut-lehenga-with-trail-18010228,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/L_JrKTseQ-product.jpeg
Iris Chrome Lehenga,245000,https://isabydollywahal.com/product/iris-chrome-lehenga-18010229,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/8stggQRBK9--WhatsApp-Image-2026-05-04-at-7.jpeg
Turquoise Blue Fishcut Lehenga,215000,https://isabydollywahal.com/product/turquoise-blue-fishcut-lehenga-18010230,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/1R4d8dQp3ME-WhatsApp-Image-2026-05-04-at-7.jpeg
Blush Pink Bridal Lehenga,295000,https://isabydollywahal.com/product/blush-pink-bridal-lehenga-18010231,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/gVEV5-EFg-K-WhatsApp-Image-2026-05-04-at-7.jpeg
Powder Pink Pearl Saree,195000,https://isabydollywahal.com/product/powder-pink-pearl-saree-96412441,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/k09SsyAsnI-2.jpg
Sea Green Bridal Lehenga with Pink Accents,249000,https://isabydollywahal.com/product/sea-green-bridal-lehenga-with-pink-accents-96412442,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/Ex3f6XiwR--IMG_2709.jpg
Midnight Blue Saree,195000,https://isabydollywahal.com/product/midnight-blue-saree-96412443,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/0jop83GfZ7-IMG_6455.jpg
Ira Gold Fishcut Lehenga,235000,https://isabydollywahal.com/product/ira-gold-fishcut-lehenga-96412445,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/wSlCDQCsFk-1.jpg
Nyra Ombre Fishcut Lehenga,235000,https://isabydollywahal.com/product/nyra-ombre-fishcut-lehenga-96412446,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/TRZe8G5NN8-7.jpg
Pink Corset Saree with Slit,185000,https://isabydollywahal.com/product/pink-corset-saree-with-slit-96412450,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/fq7e2S12V7-IMG_5892.jpg
